id	ts	dur	category	name	track_id	track_name	thread_name	utid	tid	process_name	upid	pid	depth	parent_id	arg_set_id
27571	339193277180000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27580	339193277237000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$15.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27587	339193277254000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27596	339193277309000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$16.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27603	339193277326000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27612	339193277384000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$17.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27619	339193277402000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27628	339193277458000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$18.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27635	339193277475000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27644	339193277529000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$19.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27651	339193277546000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27660	339193277602000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$20.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27667	339193277619000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27676	339193277671000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$21.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27683	339193277687000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27692	339193277748000	8000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$22.<init>: (Lkotlinx/coroutines/flow/Flow;Lvad/dashing/tbox/SettingsManager;)V	0	null	main	1	909	null	null	null	3	26962	367
27699	339193277766000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27708	339193277822000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$23.<init>: (Lkotlinx/coroutines/flow/Flow;Lvad/dashing/tbox/SettingsManager;)V	0	null	main	1	909	null	null	null	3	26962	367
27715	339193277839000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27724	339193277898000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$24.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27731	339193277915000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27740	339193277967000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$25.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27747	339193277984000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27756	339193278046000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$26.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27763	339193278063000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27772	339193278119000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$27.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27779	339193278137000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27788	339193278191000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$28.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27795	339193278208000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27804	339193278263000	13000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$29.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27811	339193278287000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27820	339193278348000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$30.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27827	339193278366000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
